bib,name,city/state,division,final_time,gender_position,overall_position,age_group_position,5k,10k,15k,20k,half,25k,30k,35k,finish
2,"Kiptum, Kelvin (KEN)",Nairobi,20-24,02:00:35,1,1,1,14:26,14:16,14:27,14:30,03:09,11:16,14:27,13:51,06:12
1,"Kipruto, Benson (KEN)",Trento,30-34,02:04:02,2,2,1,14:26,14:46,14:54,14:58,03:17,11:30,14:18,14:45,06:27
3,"Abdi, Bashir (BEL)",Zwijnaarde,30-34,02:04:32,3,3,2,14:44,14:55,14:45,14:41,03:16,11:29,14:18,14:46,06:49
7,"Korir, John (KEN)",Eldoret,25-29,02:05:09,4,4,1,14:27,14:46,14:53,14:59,03:16,11:31,14:16,14:46,07:04
6,"Tura Abdiwak, Seifu (ETH)",Addis Abeba,25-29,02:05:29,5,5,2,14:27,14:45,14:55,14:58,03:16,11:30,14:18,14:46,07:07
10,"Mantz, Conner (USA)",Provo,25-29,02:07:47,6,6,3,15:25,14:59,14:47,14:49,03:21,11:42,15:00,15:07,07:05
25,"Young, Clayton (USA)",Provo,30-34,02:08:00,7,7,3,15:34,14:54,14:51,15:01,03:22,11:53,15:18,15:00,06:52
9,"Rupp, Galen (USA)",Portland,35-39,02:08:48,8,8,1,15:25,14:59,14:48,14:49,03:20,11:43,15:00,15:31,07:08
29,"Chelanga, Sam (USA)",Colorado Spgs,35-39,02:08:50,9,9,2,15:26,14:59,14:47,14:50,03:19,11:44,15:01,15:14,07:17
12,"Ichida, Takashi (JPN)",Setagaya-Ku,30-34,02:08:57,10,10,4,15:25,15:00,14:47,14:50,03:19,11:43,15:01,15:24,07:07
27,"Shrader, Brian (USA)",Cambridge,30-34,02:09:46,11,11,5,15:33,15:09,15:16,15:15,03:22,11:57,15:21,15:21,06:47
31,"Kiptoo, Wesley (KEN)",Flagstaff,20-24,02:10:28,12,12,2,15:22,15:01,14:46,14:51,03:18,11:47,15:00,15:55,07:30
16,"McDonald, Matt (USA)",Cambridge,30-34,02:10:34,13,13,6,15:34,14:55,15:21,15:24,03:21,11:57,15:22,15:26,07:07
26,"Reichow, Joel (USA)",White Bear Lk,30-34,02:10:37,14,14,7,15:35,15:08,15:16,15:18,03:24,11:53,15:21,15:50,06:46
22,"Colley, Andrew (USA)",Blowing Rock,30-34,02:11:22,15,15,8,15:34,15:09,15:14,15:15,03:23,11:58,15:21,15:14,07:54
24,"Salvano, Kevin (USA)",Chicago,25-29,02:11:26,16,16,4,15:34,15:09,15:15,15:15,03:22,11:57,15:23,15:45,07:25
5,"Wolde, Dawit (ETH)",Addis,30-34,02:11:33,17,17,9,14:27,14:45,14:54,14:58,03:16,11:31,14:22,16:03,08:09
23,"Lara, Frank (USA)",Westminster,25-29,02:12:57,18,18,5,15:33,14:55,14:53,15:12,03:22,11:52,15:09,15:27,09:02
33,"Gusman, Jordan (MLT)",Boulder,25-29,02:13:13,19,19,6,15:43,15:23,15:31,15:47,03:30,12:26,16:00,16:02,06:56
611,"Kiselev, Stepan (RUS)",Schaumburg,35-39,02:13:26,20,20,3,–,–,15:16,15:43,03:27,12:38,16:11,16:11,07:41
18,"Nonaka, Masashi (JPN)",Tawara,25-29,02:14:58,21,22,7,15:25,14:59,14:54,15:03,03:24,12:27,15:52,16:49,08:00
20,"Tsuda, Masaki (JPN)",Fukuoka,20-24,02:15:24,22,23,3,15:34,15:03,15:21,15:16,03:21,11:58,15:24,16:29,08:40
32,"Winter, Connor (USA)",Boulder,30-34,02:15:51,23,25,10,16:04,16:00,16:06,16:04,03:32,12:29,15:57,15:52,07:28
854,"Jermann, Tyler",Saint Paul,30-34,02:16:23,24,26,11,16:05,15:56,16:10,16:04,03:37,12:47,16:10,16:09,07:13
18054,"Heninger, Julian (USA)",Portland,25-29,02:16:48,25,27,8,15:52,16:04,16:18,16:07,03:36,12:43,16:10,16:09,07:23
793,"Vazquez Olivas, Eric (USA)",Bonner Springs,20-24,02:17:04,26,28,4,16:20,16:22,16:25,16:14,03:36,12:36,16:17,16:10,06:58
856,"Payne, Benjamin",Colorado Spgs,40-44,02:17:15,27,30,1,16:19,16:09,16:15,16:18,03:32,12:42,16:01,16:08,07:20
501,"Dickson, Cameron (USA)",Somerville,25-29,02:17:15,28,31,9,16:06,16:22,16:15,16:18,03:32,12:42,16:35,16:00,07:09
663,"McDonnell, Kevin (USA)",Cherry Hill,30-34,02:17:22,29,32,12,16:31,16:10,16:26,16:06,03:28,12:33,16:02,16:08,07:27
